Fiscal Year,Service (Cabinet),Department,Program #,Program,Expense Type,ACCT #,Expense Category (Account),Fund,Amount
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Personnel Services,51000,Permanent Employees,General Fund,$797875.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Personnel Services,51100,Emergency Employees,General Fund,$7823.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Personnel Services,51600,Unemployment Compensation,General Fund,$16820.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Contractual Services,52100,Communications,General Fund,$47462.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$5171.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Contractual Services,52800,Transportation of Persons,General Fund,$1168.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Contractual Services,52900,Contracted Services,General Fund,$21775.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Supplies & Materials,53200,Food Supplies,General Fund,$24442.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$21439.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$1086.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Current Charges & Obligations,54900,Current Charges,General Fund,$996.00
2014,Mayors Cabinet,Mayor's Office,111100,Administration,Equipment,55900,Misc Equipment,General Fund,$7662.00
2014,Mayors Cabinet,Mayor's Office,111200,Executive,Personnel Services,51000,Permanent Employees,General Fund,$589291.00
2014,Mayors Cabinet,Mayor's Office,111200,Executive,Contractual Services,52800,Transportation of Persons,General Fund,$7294.00
2014,Mayors Cabinet,Mayor's Office,111200,Executive,Contractual Services,52900,Contracted Services,General Fund,$38063.00
2014,Mayors Cabinet,Mayor's Office,111200,Executive,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$1149.00
2014,Mayors Cabinet,Mayor's Office,111300,Policy & Planning,Personnel Services,51000,Permanent Employees,General Fund,$857843.00
2014,Mayors Cabinet,Mayor's Office,111300,Policy & Planning,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$0.00
2014,Mayors Cabinet,Mayor's Office,111300,Policy & Planning,Contractual Services,52900,Contracted Services,General Fund,$0.00
