Year,Month,logan_passengers,logan_intl_flights,hotel_occup_rate,hotel_avg_daily_rate,total_jobs,unemp_rate,labor_force_part_rate,pipeline_unit,pipeline_total_dev_cost,pipeline_sqft,pipeline_const_jobs,foreclosure_pet,foreclosure_deeds,med_housing_price,housing_sales_vol,new_housing_const_permits,new-affordable_housing_permits
2013,1,2019662,2986,0.572,158.9258676,0,0.071,0.594,329,80000000,313107,241.6,44,11,380000,405,534,134
2013,2,1878731,2587,0.645,165.4970617,0,0.063,0.591,557,360700000,1001911,1089.314,50,10,359500,332,196,13
2013,3,2469155,3250,0.819,187.45,0,0.061,0.591,803,343200000,820556,1036.464,6,6,400000,479,12,0
2013,4,2551246,3408,0.855,233.4353743,0,0.061,0.593,325,150000000,350000,453,14,8,403000,558,91,24
2013,5,2676291,3240,0.858,237.8902099,0,0.069,0.597,122,222200000,457374,671.044,12,4,425500,809,63,0
2013,6,2824862,3402,0.911,244.4543239,0,0.078,0.608,296,124500000,433868,375.99,14,13,445000,864,352,47
2013,7,2978718,3660,0.886,221.1954791,0,0.077,0.608,1228,610200000,1385259,1842.774,19,11,429000,909,462,44
2013,8,3020074,3700,0.917,223.0030788,0,0.073,0.606,134,57897696,283502,175,11,8,435000,989,20,3
2013,9,2504491,3181,0.881,255.4978245,0,0.072,0.598,886,1037000000,1441886,3131.74,19,6,438000,677,357,23
2013,10,2672640,3056,0.915,287.4659221,0,0.069,0.598,860,849324048,1794758,2564.958625,15,10,465000,619,42,185
2013,11,2296667,2708,0.786,222.5491001,0,0.064,0.6,1005,2325500000,4642045,7023.01,15,3,450000,570,712,166
2013,12,2345162,2780,0.589,157.89,0,0.062,0.597,984,2080000000,3351599,6281.6,13,4,429000,591,209,48
2014,1,2016205,2714,0.605,168.48,0,0.063,0.596,790,754832000,2014132,2279,10,10,475000,440,250,127
2014,2,1935511,2591,0.647,171.5,0,0.059,0.597,889,302700000,839243,914,20,10,459400,384,403,38
2014,3,2555815,3152,0.788,198.65,0,0.056,0.6,0,115000000,309000,348,32,6,474389,478,70,21
2014,4,2551246,3408,0.883,260.13,0,0.052,0.595,602,461200000,1267421,1393,31,2,470000,459,399,60
2014,5,2555815,3152,0.894,262.22,0,0.056,0.6,0,115000000,309000,348,32,6,474389,478,70,21
2014,6,2938917,3674,0.911,259.62,0,0.059,0.612,239,133600000,445605,404,16,8,480000,2342,339,69
2014,7,3137087,4000,0.931,245.93,0,0.064,0.619,48,40000000,285083,121,41,10,450000,2508,588,19
2014,8,3136875,3962,0.926,247.29,0,0.062,0.616,282,160500000,403060,485,34,11,456000,1612,56,4
2014,9,2672685,3444,0.901,285.83,0,0.064,0.607,130,292210000,497538,883,33,14,462000,603,353,44
2014,10,2799342,3356,0.888,288.5,0,0.053,0.611,195,151750000,673949,458,37,6,450000,1651,273,14
2014,11,2422024,3055,0.797,249.72,0,0.052,0.618,298,137000000,523415,414,36,10,460500,420,629,69
2014,12,2420784,3179,0.62,180.79,0,0.045,0.612,178,109500000,450727,330.69,40,6,478000,524,87,84
2015,1,0,0,0,0,0,0,0,0,0,0,0,28,10,475000,369,0,0
