SMMA_Identifier,SMMA_Only_For_Map,BPS_School_Name,BPS_Historical_Name,SMMA_Abbreviated_Name,BPS_Address,BRA_Neighborhood,SMMA_latitude,SMMA_longitude,SMMA_Typology,SMMA_Educational_Program,BPS_Grades_Offered,BPS_Property_Status,BPS_Total_GSF,BPS_GSF,SMMA_Site_SF,SMMA_Site_Acres,BPS_Year_Founded ,BPS_Year_Built,MSBA_Year_Reno,SMMA_Era,BPS_Plans,BPS_Principal,BPS_Open,BPS_Close,DOE_ID,DOE_Total,DOE_PK,DOE_K,DOE_1,DOE_2,DOE_3,DOE_4,DOE_5,DOE_6,DOE_7,DOE_8,DOE_9,DOE_10,DOE_11,DOE_12,DOE_SP,GSF / Student Value,BPS_KWH, BPS_Electric_Bill ,BPS_Therms, BPS_Gas_Bill ,BPS_Water_ft_cubic, BPS_Water_Bill , BPS_Total_Energy_Cost ,Climate_Priority,Climate_Risk,SMMA_FA_Visit_Date,SMMA_FA_Status,SMMA_FA_School_Enrollment,SMMA_FA_Enrollment_Building,SMMA_FA_Major_Investments,SMMA_FA_Existing_PV,SMMA_FA_space_Solar,SMMA_FA_Roof_Membrane,SMMA_FA_Facade,SMMA_FA_Windows,SMMA_FA_Boilers,SMMA_FA_Heating_Distribution_Systems,SMMA_FA_Ventilation_Distribution_Systems,SMMA_FA_Electrical_Service,SMMA_FA_Means_Egress,SMMA_FA_FP_Sprinklers,SMMA_FA_Life_Safety,SMMA_FA_Security_Entry,SMMA_FA_Lighting_Quantity_Control,SMMA_FA_Toilets_Fixtures,SMMA_FA_Plumbing_Distribution_Systems,SMMA_FA_Accessibility,SMMA_FA_Deterioration_Roof,SMMA_FA_Deterioration_Floor,SMMA_FA_Deterioration_Walls_Columns,SMMA_FA_Deterioration_Foundations,SMMA_FA_Deterioration_Facade,SMMA_FA_lateral_system_identifiable,SMMA_FA_Overall_Building_Condition,SMMA_FA_MHC_Inventory,SMMA_FA_MHC_Register,SMMA_FA_Emergency_Shelter,SMMA_FA_Community_Use_spaces,SMMA_FA_Overall_Community_Building,SMMA_FA_Building_suitability_school,SMMA_FA_susceptible_climate_change_now,SMMA_FA_susceptible_climate_change_2100,SMMA_FA_site_major_investments_10__years,SMMA_FA_building_expandable_current_site,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_DropOff_PickUp,SMMA_FA_Walkways_Curbs_Sidewalks,SMMA_FA_MAABADA_Accessibility,SMMA_FA_Site_Lighting,SMMA_FA_Fencing,SMMA_FA_Drainage,SMMA_FA_Play_Areas,SMMA_FA_Walls_Slopes,SMMA_FA_Overall_Site_Condition,SMMA_FA_MHC_Archaeological_Assets,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_FA_Site_suitability_school,Visit_Date_Date,SMMA_ES_Status,SMMA_EA_Building_originally_designed,SMMA_EA_grade_configuration_best_suited_PreK_to_1,SMMA_EA_grade_configuration_best_suited_PreK_to_3,SMMA_EA_grade_configuration_best_suited_PreK_to_5,SMMA_EA_grade_configuration_best_suited_PreK_to_6,SMMA_EA_grade_configuration_best_suited_4_to_6,SMMA_EA_grade_configuration_best_suited_6_to_8,SMMA_EA_grade_configuration_best_suited_7_to_8,SMMA_EA_grade_configuration_best_suited_6_to_12,SMMA_EA_grade_configuration_best_suited_7_to_12,SMMA_EA_grade_configuration_best_suited_9_to_12,SMMA_EA_Building_Ventilation,SMMA_EA_Building_Natural_Daylighting,SMMA_EA_Building_Lighting_Quality_Quantity,SMMA_EA_Building_Air_Quality,SMMA_EA_Building_Acoustical,SMMA_EA_Building_Technology:_Power,SMMA_EA_Building_Technology_Wireless,SMMA_EA_Building_Technology_Interactive,SMMA_EA_Building_Furniture,SMMA_EA_Building_Finishes,SMMA_EA_Building_Environment_inviting_stimulating_comfortable,SMMA_EA_Building_Adjacencies_Learning_Environments,SMMA_EA_Building_Outdoor_Classrooms,SMMA_EA_Overall_EFE_learning_environments,SMMA_EA_site_includes_Playgrounds,SMMA_EA_site_includes_Accessible,SMMA_EA_site_includes_PlayFields,SMMA_EA_change_typology_easily,SMMA_EA_transformed_educationally,SMMA_EA_swing_space,SMMA_EA_85%_to_115%_utilization,SMMA_EA_Educational_Program,SMMA_EA_EFE_S_Overall_all,SMMA_EA_ES_Adequacy_PreK,SMMA_EA_ES_Adequacy_Kindergarten,SMMA_EA_ES_Adequacy_Classroom,SMMA_EA_ES_Adequacy_SPED_SS,SMMA_EA_ES_Adequacy_SPED_Resource,SMMA_EA_ES_Adequacy_Art,SMMA_EA_ES_Adequacy_Music,SMMA_EA_ES_Adequacy_Gymnasium,SMMA_EA_ES_Adequacy_Media_Center,SMMA_EA_ES_Adequacy_Cafeteria,SMMA_EA_ES_Adequacy_Stage,SMMA_EA_ES_Adequacy_Medical,SMMA_EA_ES_Adequacy_Administration,SMMA_EA_ES_Adequacy_Custodial,SMMA_EA_ES_Adequacy_Network,SMMA_EA_ES_Adequacy_Other_1,SMMA_EA_ES_Adequacy_Other_2,SMMA_EA_ES_Adequacy_Other_3,SMMA_EA_ES_Overall_EFE_spaces,SMMA_EA_MS_Adequacy_Classroom,SMMA_EA_MS_Adequacy_Science,SMMA_EA_MS_Adequacy_SPED_SS,SMMA_EA_MS_Adequacy_SPED_Resource,SMMA_EA_MS_Adequacy_Art,SMMA_EA_MS_Adequacy_Music,SMMA_EA_MS_Adequacy_Vocations,SMMA_EA_MS_Adequacy_Gymnasium,SMMA_EA_MS_Adequacy_Media_Center,SMMA_EA_MS_Adequacy_Cafeteria,SMMA_EA_MS_Adequacy_Stage,SMMA_EA_MS_Adequacy_Medical,SMMA_EA_MS_Adequacy_Administration,SMMA_EA_MS_Adequacy_Custodial,SMMA_EA_MS_Adequacy_Network,SMMA_EA_MS_Adequacy_Other_1,SMMA_EA_MS_Adequacy_Other_2,SMMA_EA_MS_Adequacy_Other_3,SMMA_EA_MS_Overall_EFE_spaces,SMMA_EA_HS712_Adequacy_Classroom,SMMA_EA_HS712_Adequacy_TeacherPlanning,SMMA_EA_HS712_Adequacy_Small_Group,SMMA_EA_HS712_Adequacy_Science,SMMA_EA_HS712_Adequacy_SPED_SS,SMMA_EA_HS712_Adequacy_SPED_Resource,SMMA_EA_HS712_Adequacy_Art,SMMA_EA_HS712_Adequacy_Music,SMMA_EA_HS712_Adequacy_Vocations,SMMA_EA_HS712_Adequacy_Gymnasium,SMMA_EA_HS712_Adequacy_GynasiumAlternatives,SMMA_EA_HS712_Adequacy_Media_Center,SMMA_EA_HS712_Adequacy_Cafeteria,SMMA_EA_HS712_Adequacy_Auditorium,SMMA_EA_HS712_Adequacy_Stage,SMMA_EA_HS712_Adequacy_Medical,SMMA_EA_HS712_Adequacy_Administration,SMMA_EA_HS712_Adequacy_Custodial,SMMA_EA_HS712_Adequacy_Network,SMMA_EA_HS712_Adequacy_Other_1,SMMA_EA_HS712_Adequacy_Other_2,SMMA_EA_HS712_Adequacy_Other_3,SMMA_EA_HS712_Overall_EFE_spaces,SMMA_EA_HS912_Adequacy_Classroom,SMMA_EA_HS912_Adequacy_TeacherPlanning,SMMA_EA_HS912_Adequacy_Small_Group,SMMA_EA_HS912_Adequacy_Science,SMMA_EA_HS912_Adequacy_SPED_SS,SMMA_EA_HS912_Adequacy_SPED_Resource,SMMA_EA_HS912_Adequacy_Art,SMMA_EA_HS912_Adequacy_Music,SMMA_EA_HS912_Adequacy_Vocations,SMMA_EA_HS912_Adequacy_Gymnasium,SMMA_EA_HS912_Adequacy_GynasiumAlternatives,SMMA_EA_HS912_Adequacy_Media_Center,SMMA_EA_HS912_Adequacy_Cafeteria,SMMA_EA_HS912_Adequacy_Auditorium,SMMA_EA_HS912_Adequacy_Stage,SMMA_EA_HS912_Adequacy_Medical,SMMA_EA_HS912_Adequacy_Administration,SMMA_EA_HS912_Adequacy_Custodial,SMMA_EA_HS912_Adequacy_Network,SMMA_EA_HS912_Adequacy_Other_1,SMMA_EA_HS912_Adequacy_Other_2,SMMA_EA_HS912_Adequacy_Other_3,SMMA_EA_HS912_Overall_EFE_spaces,SMMA_EA_K8_Adequacy_Pre-K,SMMA_EA_K8_Adequacy_Kindergarten,SMMA_EA_K8_Adequacy_Classroom_Grades_1-5,SMMA_EA_K8_Adequacy_Classroom_Grades_6-8,SMMA_EA_K8_Adequacy_Science,SMMA_EA_K8_Adequacy_SPED_SS,SMMA_EA_K8_Adequacy_Small_Group,SMMA_EA_K8_Adequacy_Art_Grades_1-5,SMMA_EA_K8_Adequacy_Art_Grades_6-8,SMMA_EA_K8_Adequacy_Music,SMMA_EA_K8_Adequacy_Vocations,SMMA_EA_K8_Adequacy_Gymnasium,SMMA_EA_K8_Adequacy_Media_Center,SMMA_EA_K8_Adequacy_Cafeteria,SMMA_EA_K8_Adequacy_Stage,SMMA_EA_K8_Adequacy_Medical,SMMA_EA_K8_Adequacy_Administration,SMMA_EA_K8_Adequacy_Custodial,SMMA_EA_K8_Adequacy_Network,SMMA_EA_K8_Adequacy_Other_1,SMMA_EA_K8_Adequacy_Other_2,SMMA_EA_K8_Adequacy_Other_3,SMMA_EA_K8_Overall_EFE_spaces
031,,"Adams, Samuel Elementary",Adams,Adams,"165 Webster St East Boston, MA 02128",East Boston,42.365553,-71.0349174,Elementary School,Elementary: Pre-K to 6,K0-5,Owned,41336,41336,40680,0.933884298,1910,1910,N/A,1900-1939,"CAD plans, site plans",Hannah Irvin,7:30:00 AM,1:30:00 PM,350302,302,43,49,53,42,48,37,30,0,0,0,0,0,0,0,0,180,381000," $58,339.00 ",14650," $13,401.00 ",0, $-   ," $71,740.00 ",M,Flooding,05/18/2016,Phase 3,302,302,Yes,No,Yes,Moderate,Adequate,Replace,Replace,Moderate,Replace,Minor,Not Present,Not Present,Minor,Moderate,Minor,Replace,Replace,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Poor,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Moderate,Adequate,Minor,Minor,Not Present,Minor,Moderate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes,5/18/16,Phase 3,Middle School,Pre-K to 1,Pre-K to 3,,,,,,,,,Deficient,Fair,Fair,Deficient,Poor,Poor,Good,Fair,Fair,Poor,Poor,Poor,Fair,Poor,Yes,No,No,No,No,Yes,Yes,Elementary: Pre-K to 6,Poor,Poor,Poor,Poor,Poor,Poor,Deficient,Deficient,Deficient,Deficient,Poor,Poor,Poor,Poor,,,Poor,Fair,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078,,"Alighieri, Dante Montessori School",Alighieri,Alighieri,"37 Gove Street East Boston, MA 02128",East Boston,42.3715652,-71.037608,Elementary School,Elementary: Pre-K to 6,K0-5,Owned,16948,16948,22039,0.505945822,1924,1924,N/A,1900-1939,"CAD plans, site plans",Mayra Cuevas,7:30:00 AM,1:30:00 PM,350066,90,29,15,16,12,8,6,4,0,0,0,0,0,0,0,0,180,9977," $2,072.00 ",8230," $9,957.00 ",8120," $1,685.00 "," $13,714.00 ",M,3 - SLR,05/18/2016,Phase 3,90,90,Yes,No,Yes,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Moderate,Adequate,Adequate,Minor,Adequate,Adequate,Adequate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,Yes,Yes,Yes,No,Moderate,Minor,Minor,Adequate,Not Present,Minor,Adequate,Moderate,Adequate,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,No,5/18/16,Phase 3,Elementary School,Pre-K to 1,Pre-K to 3,Pre-K to 5,Pre-K to 6,,,,,,,Deficient,Fair,Good,Fair,Good,Good,Good,Good,Good,Fair,Good,Good,Deficient,Fair,Yes,Yes,No,No,Yes,No,Yes,Elementary: Pre-K to 6,Poor,Poor,Poor,Poor,Deficient,Excellent,Fair,Deficient,Deficient,Deficient,Good,Deficient,Fair,Poor,Poor,Poor,,,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045A,,Another Course to College*,Taft,ACC*,"20 Warren Street Brighton, MA 02135",Allston,42.3503536,-71.1455821,High School,High Schools: 9 to 12,9-12,Owned,28021,28021,83088,1.907438017,1939,1895,N/A,-1899,"CAD plans, site plans",Lisa Gilbert-Smith,7:30:00 AM,2:30:00 PM,350541,237,0,0,0,0,0,0,0,0,0,0,54,62,62,59,0,225,343410," $49,657.00 ",51459," $57,978.00 ",163110," $20,763.00 "," $128,398.00 ",128398,,04/27/2016,Phase 3,237,674,Yes,No,Yes,Minor,Adequate,Minor,Moderate,Moderate,Moderate,Adequate,Minor,Not Present,Adequate,Moderate,Minor,Adequate,Adequate,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Adequate,Adequate,Moderate,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes,4/27/16,Phase 3,High School,,,,,,,,,7 to 12,9 to 12,Poor,Good,Fair,Fair,Poor,Poor,Good,Poor,Poor,Poor,Poor,Poor,Fair,Fair,No,No,No,No,No,No,Yes,High Schools: 9 to 12,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fair,Deficient,Deficient,Poor,Deficient,Deficient,Deficient,Deficient,Deficient,Poor,Deficient,Deficient,Excellent,Excellent,Poor,Good,Poor,,,Fair,Fair,,Poor,,,,,,,,,,,,,,,,,,,,,,,
012,,Baldwin Early Learning Pilot Academy,Baldwin ELC,Baldwin,"121 Corey Rd Brighton, MA 02135",Brighton,42.3420369,-71.1405292,Early Learning,Elementary: Pre-K to 6,K0-1,Owned,27879,27879,29990,0.688475666,1926,1926,2008,1900-1939,"CAD plans, site plans",Tavia Mead,7:30:00 AM,4:35:00 PM,350003,142,68,41,33,0,0,0,0,0,0,0,0,0,0,0,0,200,70212," $9,588.00 ",9806," $11,657.00 ",42550," $5,227.00 "," $26,472.00 ",,,04/25/2016,Phase 3,142,142,Yes,No,Yes,Not Present,Minor,Minor,Moderate,Moderate,Minor,Minor,Minor,Not Present,Adequate,Moderate,Minor,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Minor,Adequate,Moderate,Minor,Moderate,Minor,Minor,Moderate,Adequate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,No,4/25/16,Phase 3,Elementary School,Pre-K to 1,,,,,,,,,,Poor,Fair,Poor,Poor,Poor,Poor,Good,Poor,Fair,Poor,Fair,Fair,Deficient,Poor,Yes,Yes,No,No,No,No,Yes,Elementary: Pre-K to 6,Poor,Poor,Poor,Deficient,Poor,Poor,Poor,Deficient,Deficient,Poor,Poor,Deficient,Deficient,Deficient,,,Fair,Fair,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087,,"Bates, Phineas Elementary",Bates,Bates,"426 Beech St Roslindale, MA 02131",Roslindale,42.277663,-71.1353531,Elementary School,Elementary: Pre-K to 6,K1-5,Owned,27936,27936,67077,1.539876033,1929,1929,N/A,1900-1939,"CAD plans, site plans",Kelly Hung,9:30:00 AM,3:30:00 PM,350278,297,20,36,39,44,49,58,51,0,0,0,0,0,0,0,0,180,91800," $13,367.00 ",14530," $16,909.00 ",42870," $5,262.00 "," $35,538.00 ",,,06/08/2016,Phase 3,297,297,Yes,No,Yes,Moderate,Adequate,Moderate,Replace,Moderate,Moderate,Replace,Adequate,Not Present,Minor,Moderate,Adequate,Replace,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Replace,Minor,Minor,Minor,Not Present,Moderate,Minor,Minor,Minor,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes,6/8/16,Phase 3,Elementary School,Pre-K to 1,Pre-K to 3,Pre-K to 5,,,,,,,,Poor,Good,Excellent,Poor,Poor,Poor,Fair,Good,Fair,Fair,Poor,Poor,Poor,Fair,Yes,No,No,Yes,No,Yes,Yes,Elementary: Pre-K to 6,Poor,Poor,Poor,Poor,Poor,Poor,Deficient,Deficient,Deficient,Deficient,Fair,Poor,Poor,Poor,,,,,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099,,"Beethoven, Ludwig Van Elementary",Beethoven,Beethoven,"5125 Washington St West Roxbury, MA 02132",West Roxbury,42.26352,-71.155824,Elementary School,Elementary: Pre-K to 6,K1-3,Owned,37452,37452,102660,2.356749311,1925,1925,N/A,1900-1939,"CAD plans, site plans",Edward Puliafico,8:30:00 AM,2:30:00 PM,350021,342,42,80,116,95,9,0,0,0,0,0,0,0,0,0,0,175,122680," $19,632.00 ",17669," $20,307.00 ",73100," $10,491.00 "," $50,430.00 ",,,06/06/2016,Phase 3,342,342,Yes,No,Yes,Adequate,Adequate,Adequate,Adequate,Minor,Moderate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,No,Fair,Yes,No,No,Yes,Yes,Adequate,Minor,Adequate,Moderate,Minor,Not Present,Minor,Moderate,Not Present,Not Present,Fair,Not Researched,No,No,Yes,Fair,No,6/7/16,Phase 3,Elementary School,Pre-K to 1,Pre-K to 3,,,,,,,,,Poor,Good,Fair,Poor,Fair,Fair,Good,Excellent,Fair,Fair,Fair,Fair,Deficient,Fair,No,Yes,No,Yes,Yes,Yes,Yes,Elementary: Pre-K to 6,Poor,Poor,Deficient,Poor,Fair,Fair,Deficient,Deficient,Poor,Deficient,Poor,Poor,Poor,Poor,,,,,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079,,"Blackstone, William Elementary",Blackstone,Blackstone,"380 Shawmut Ave Boston, MA 02118",South End,42.3410123,-71.0720558,Elementary School,Elementary: Pre-K to 6,K0-5,Owned,194260,167781,144255,3.311639118,1975,1975,N/A,1960-1984,"CAD plans, site plans",Danielle Morrissey,8:30:00 AM,3:00:00 PM,350390,595,76,77,79,104,107,81,71,0,0,0,0,0,0,0,0,146,1048920," $226,804.00 ",115380," $124,712.00 ",218350," $27,794.00 "," $379,310.00 ",,,06/15/2016,Phase 3,595,595,Yes,No,Yes,Adequate,Minor,Minor,Minor,Adequate,Adequate,Minor,Adequate,Moderate,Adequate,Minor,Minor,Moderate,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,Yes,Yes,No,Replace,Minor,Moderate,Moderate,Moderate,Minor,Adequate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes,6/15/16,Phase 3,Elementary School,Pre-K to 1,Pre-K to 3,Pre-K to 5,Pre-K to 6,,,,,,,Good,Good,Fair,Good,Poor,Fair,Fair,Good,Fair,Fair,Good,Good,Fair,Fair,Yes,Yes,No,Yes,Yes,Yes,Yes,Elementary: Pre-K to 6,Fair,Poor,Fair,Good,Good,Poor,Poor,Poor,Good,Poor,Excellent,Deficient,Poor,Excellent,,,Fair,Fair,Fair,Fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041,,Boston Adult Technical Academy,,BATA,"20 Church Street Boston, MA 02116",Bay Village,42.3488158,-71.0682117,Special,High Schools: 9 to 12,11-12,Owned,17640,17640,5328,0.12231405,2005,1899,N/A,-1899,"CAD plans, site plans",Sheila Azores,8:50:00 AM,3:30:00 PM,350548,170,0,0,0,0,0,0,0,0,0,0,0,0,68,102,0,225,91160," $20,821.00 ",3845," $5,269.00 ",23630," $3,148.00 "," $29,238.00 ",M,3 - SLR,06/16/2016,Phase 3,170,170,No,No,Yes,Replace,Adequate,Adequate,Minor,Moderate,Moderate,Minor,Adequate,Adequate,Moderate,Adequate,Adequate,Moderate,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Deficient,Yes,No,Yes,No,No,Not Present,Adequate,Not Present,Minor,Replace,Moderate,Adequate,Minor,Not Present,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,No,6/16/16,Phase 3,,,,,,,,,,,,Good,Good,Good,Good,Good,Good,Fair,Poor,Fair,Good,Poor,Poor,Deficient,Good,No,No,No,No,No,No,Yes,High Schools: 9 to 12,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor,Deficient,Deficient,Poor,Deficient,Deficient,Deficient,Deficient,Poor,Deficient,Deficient,Deficient,Excellent,Deficient,Deficient,Deficient,Poor,,,,,,Poor,,,,,,,,,,,,,,,,,,,,,,,
033,,Boston Arts Academy,Boston Arts Academy,BAA,"174 Ipswich St Boston, MA 02215",Fenway,42.3461819,-71.0949741,High School,High Schools: 9 to 12,9-12,Owned,79541,79541,24723,0.567561983,1998,1899,1998,-1899,"CAD plans, site plans",Anne Clark,8:50:00 AM,3:55:00 PM,350546,437,0,0,0,0,0,0,0,0,0,0,121,101,112,103,0,225,782820," $112,162.00 ",54291," $66,101.00 ",71260," $10,245.00 "," $188,508.00 ",,,05/23/2016,Phase 3,437,437,Yes,No,Yes,Minor,Adequate,Adequate,Minor,Adequate,Moderate,Adequate,Minor,Minor,Minor,Adequate,Adequate,Minor,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Not Listed,Not Listed,Yes,No,Poor,Yes,No,Yes,No,Yes,Not Present,Moderate,Adequate,Not Present,Minor,Not Present,Not Present,Not Present,Not Present,Not Present,Poor,Not Researched,Yes,Yes,No,Poor,No,5/23/16,Phase 3,High School,,,,,,,,,,9 to 12,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Poor,Poor,Deficient,Fair,No,No,No,No,Yes,Yes,Yes,High Schools: 9 to 12,Fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor,Poor,Fair,Poor,Deficient,Deficient,Fair,Poor,Poor,Deficient,Poor,Fair,Excellent,Excellent,Deficient,Deficient,Excellent,,,,,,Fair,,,,,,,,,,,,,,,,,,,,,,,
110A,,Boston Community Leadership Academy*,Hyde Park High Complex,BCLA,"655 Metropolitan Av Hyde Park, MA 02136",Hyde Park,42.262789,-71.11792,High School,High Schools: 9 to 12,9-12,Owned,127373,127373,159439,3.660215794,2005,1929,N/A,1900-1939,"CAD plans, site plans",Brett Dickens,7:45:00 AM,2:30:00 PM,350558,506,0,0,0,0,0,0,0,0,0,0,123,133,138,108,4,225,1016346," $152,573.00 ",87336," $64,059.00 ",120635," $16,435.00 "," $233,067.00 ",,,05/25/2016,Phase 3,506,825,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Moderate,Minor,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Minor,Moderate,Moderate,Not Present,Minor,Minor,Minor,Not Present,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes,5/25/16,Phase 3,High School,,,,,,,,,,9 to 12,Fair,Good,Fair,Fair,Fair,Good,Good,Good,Fair,Fair,Fair,Good,Fair,Fair,No,No,No,Yes,Yes,Yes,No,High Schools: 9 to 12,Fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor,Deficient,Deficient,Poor,Poor,Deficient,Fair,Deficient,Deficient,Poor,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Fair,,,,,,Fair,,,,,,,,,,,,,,,,,,,,,,,
