timestamp,organization_type,country_residence,country_citizenship,finaid_need
2/9/2017 14:14:38,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
2/9/2017 15:53:06,University,United States,United States,"Hotel Accommodations, Airline Ticket"
2/13/2017 14:59:49,Industry,United States of America,Belarus,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
2/16/2017 15:53:24,University,United States of America,United States,"Conference and Tutorial Fees Waived, Airline Ticket"
2/17/2017 13:55:23,University,United States of America,Morocco,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
2/21/2017 14:18:53,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
2/25/2017 0:02:05,University,United States of America,Bangladesh,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
2/27/2017 0:18:12,Industry,Uganda,Uganda,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
2/28/2017 12:06:31,University,Sudan,Sudan,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/1/2017 13:14:38,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/5/2017 5:47:06,University,Sweden,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/5/2017 14:34:24,University,Dominican Republic,Haiti,"Conference and Tutorial Fees Waived, Hotel Accommodations"
3/6/2017 3:35:31,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/6/2017 20:20:49,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Airline Ticket"
3/7/2017 14:48:29,University,United States of America,Burkina Faso,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/7/2017 15:06:13,Industry,United States of America,Belarus,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/7/2017 15:40:24,University,Canada,Pakistan,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/8/2017 10:54:24,Other,Brazil,Brazil,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/8/2017 15:58:29,Other,Canada,Canada,Conference and Tutorial Fees Waived
3/9/2017 16:25:20,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/9/2017 17:16:26,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/10/2017 12:52:13,University,United States of America,United States of America,"Conference and Tutorial Fees Waived, Airline Ticket"
3/11/2017 11:58:47,University,India,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/13/2017 14:31:00,University,USA,Iran,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/13/2017 20:59:08,University,United States of America,India,"Conference and Tutorial Fees Waived, Hotel Accommodations, Airline Ticket"
3/14/2017 15:15:44,University,Iraq,Iraq,"Hotel Accommodations, Airline Ticket"
